lemma,freq,freq_class,rank,prop,cum_sum_prop
konstruktiv,8,7,93,3.776613322003493e-4,0.754614549402823
kul,8,7,93,3.776613322003493e-4,0.7549922107350233
kvalifisere,8,7,93,3.776613322003493e-4,0.7553698720672237
litterær,8,7,93,3.776613322003493e-4,0.755747533399424
marin,8,7,93,3.776613322003493e-4,0.7561251947316244
massiv,8,7,93,3.776613322003493e-4,0.7565028560638247
meningsløs,8,7,93,3.776613322003493e-4,0.7568805173960251
merkelig,8,7,93,3.776613322003493e-4,0.7572581787282254
mistenke,8,7,93,3.776613322003493e-4,0.7576358400604258
moderat,8,7,93,3.776613322003493e-4,0.7580135013926261
muntlig,8,7,93,3.776613322003493e-4,0.7583911627248265
myk,8,7,93,3.776613322003493e-4,0.7587688240570268
oppmerksom,8,7,93,3.776613322003493e-4,0.7591464853892272
planlegge,8,7,93,3.776613322003493e-4,0.7595241467214275
prege,8,7,93,3.776613322003493e-4,0.759901808053628
redusere,8,7,93,3.776613322003493e-4,0.7602794693858282
regional,8,7,93,3.776613322003493e-4,0.7606571307180287
relevant,8,7,93,3.776613322003493e-4,0.761034792050229
sannsynlig,8,7,93,3.776613322003493e-4,0.7614124533824292
skeptisk,8,7,93,3.776613322003493e-4,0.7617901147146297
skremme,8,7,93,3.776613322003493e-4,0.76216777604683
skuffe,8,7,93,3.776613322003493e-4,0.7625454373790304
spent,8,7,93,3.776613322003493e-4,0.7629230987112307
tilfeldig,8,7,93,3.776613322003493e-4,0.7633007600434311
tragisk,8,7,93,3.776613322003493e-4,0.7636784213756314
typisk,8,7,93,3.776613322003493e-4,0.7640560827078318
utvilsom,8,7,93,3.776613322003493e-4,0.7644337440400321
videregående,8,7,93,3.776613322003493e-4,0.7648114053722325
14.,7,7,94,3.3045366567530565e-4,0.7651418590379078
aggressiv,7,7,94,3.3045366567530565e-4,0.7654723127035831
angivelig,7,7,94,3.3045366567530565e-4,0.7658027663692584
betale,7,7,94,3.3045366567530565e-4,0.7661332200349337
deilig,7,7,94,3.3045366567530565e-4,0.766463673700609
digital,7,7,94,3.3045366567530565e-4,0.7667941273662843
dyktig,7,7,94,3.3045366567530565e-4,0.7671245810319596
emosjonell,7,7,94,3.3045366567530565e-4,0.7674550346976349
flau,7,7,94,3.3045366567530565e-4,0.7677854883633102
forretningsmessig,7,7,94,3.3045366567530565e-4,0.7681159420289855
fremmed,7,7,94,3.3045366567530565e-4,0.7684463956946608
gift,7,7,94,3.3045366567530565e-4,0.7687768493603361
gøy,7,7,94,3.3045366567530565e-4,0.7691073030260114
heldig,7,7,94,3.3045366567530565e-4,0.7694377566916867
israelsk,7,7,94,3.3045366567530565e-4,0.769768210357362
kjekk,7,7,94,3.3045366567530565e-4,0.7700986640230373
komme,7,7,94,3.3045366567530565e-4,0.7704291176887126
konstitusjonell,7,7,94,3.3045366567530565e-4,0.770759571354388
libysk,7,7,94,3.3045366567530565e-4,0.7710900250200633
meteorologisk,7,7,94,3.3045366567530565e-4,0.7714204786857386
militant,7,7,94,3.3045366567530565e-4,0.7717509323514139
nyfødt,7,7,94,3.3045366567530565e-4,0.7720813860170892
nyskapende,7,7,94,3.3045366567530565e-4,0.7724118396827645
ønskelig,7,7,94,3.3045366567530565e-4,0.7727422933484398
organisk,7,7,94,3.3045366567530565e-4,0.7730727470141151
overordnet,7,7,94,3.3045366567530565e-4,0.7734032006797904
parlamentarisk,7,7,94,3.3045366567530565e-4,0.7737336543454657
passe,7,7,94,3.3045366567530565e-4,0.774064108011141
passiv,7,7,94,3.3045366567530565e-4,0.7743945616768163
prinsipiell,7,7,94,3.3045366567530565e-4,0.7747250153424916
se,7,7,94,3.3045366567530565e-4,0.7750554690081669
seriøs,7,7,94,3.3045366567530565e-4,0.7753859226738422
sint,7,7,94,3.3045366567530565e-4,0.7757163763395175
